Inbred,State/Country,NSS,SS,TS,Pop A,Sweet A,Subpopulation
Yu796,Yugoslavia,0.785,0.189,0.026,0,0,mixed
4226,Illinois,0.917,0.071,0.012,0,0,nss
4722,Indiana,0,0,0,1,0,popcorn
33-16,Indiana,0.972,0.014,0.014,0,0,nss
38-11Goodman-Buckler,Indiana,0.993,0.003,0.004,0,0,nss
81-1,USDA,0,0,0,0,1,sweet
A188,Minnesota,0.982,0.013,0.006,0,0,nss
A214NGoodman-Buckler,South Africa,0.017,0.762,0.221,0,0,mixed
A239,Minnesota,0.963,0.035,0.002,0,0,nss
A272,South Africa,0.122,0.019,0.859,0,0,ts
A441-5,South Africa,0.531,0.005,0.464,0,0,mixed
A554,Minnesota,0.979,0.019,0.002,0,0,nss
A556,Minnesota,0.994,0.004,0.002,0,0,nss
A6,Pioneer,0.03,0.003,0.967,0,0,ts
A619,Minnesota,0.99,0.009,0.001,0,0,nss
A632,Minnesota,0.004,0.993,0.004,0,0,ss
A634,Minnesota,0.1,0.897,0.004,0,0,ss
A635,Minnesota,0.171,0.825,0.004,0,0,ss
A641,Minnesota,0.481,0.517,0.002,0,0,mixed
A654,Minnesota,0.915,0.083,0.002,0,0,nss
A659,Minnesota,0.991,0.006,0.002,0,0,nss
A661,Minnesota,0.852,0.111,0.037,0,0,nss
A679,Minnesota,0.127,0.862,0.011,0,0,ss
A680,Minnesota,0.004,0.993,0.002,0,0,ss
A682,Minnesota,0.997,0.002,0.001,0,0,nss
Ab28A,Alabama,0.776,0.002,0.222,0,0,mixed
B10,Iowa,0.57,0.429,0.002,0,0,mixed
B103,Iowa,0.829,0.163,0.009,0,0,nss
B104,Iowa,0.305,0.694,0.002,0,0,mixed
B105,Iowa,0.566,0.397,0.037,0,0,mixed
B109,Iowa,0.003,0.995,0.002,0,0,ss
B115,Iowa,0.847,0.061,0.092,0,0,nss
B14A,Iowa,0.001,0.998,0.001,0,0,ss
B164,Minnesota,0.756,0.233,0.011,0,0,mixed
B2,Missouri,0.988,0.007,0.005,0,0,nss
B37,Iowa,0.002,0.997,0.001,0,0,ss
B46,Iowa,0.784,0.214,0.002,0,0,mixed
B52,Iowa,0.985,0.012,0.003,0,0,nss
B57,Iowa,0.996,0.002,0.002,0,0,nss
B64,Iowa,0.002,0.988,0.01,0,0,ss
B68,Iowa,0.001,0.998,0.001,0,0,ss
B73,Iowa,0.001,0.999,0.001,0,0,ss
B73Htrhm,Iowa,0.001,0.999,0.001,0,0,ss
B75,Iowa,0.993,0.005,0.002,0,0,nss
B76,Iowa,0.087,0.912,0.001,0,0,ss
B77,Iowa,0.915,0.083,0.002,0,0,nss
B79,Iowa,0.693,0.305,0.002,0,0,mixed
B84,Iowa,0.003,0.996,0.001,0,0,ss
